H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905272_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	143219	135099	0.02917526	0.02917526	0.004866792	5.994762	
SRR11905268_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	125926	266337	-0.3579512	-0.3579512	0.01064568	-33.62409	
SRR11905269_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	136442	233255	-0.2618712	-0.2618712	0.009257519	-28.28741	
SRR11905270_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	133255	250300	-0.3051583	-0.3051583	0.01079142	-28.27787	
SRR11905271_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	133213	239494	-0.2851597	-0.2851597	0.00935705	-30.47538	
SRR11097120_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	158822	157746	0.003398954	0.003398954	0.008716415	0.3899486	
SRR11905247_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	157798	159828	-0.006391164	-0.006391164	0.009468191	-0.6750143	
SRR11905248_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	162285	158773	0.01093883	0.01093883	0.009091339	1.203215	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905273_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	226712	115988	0.3230931	0.3230931	0.004987418	64.78164	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905273_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	227620	116564	0.3226646	0.3226646	0.004714762	68.43709	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905273_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	226764	115289	0.3258998	0.3258998	0.004838312	67.35816	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905273_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	211615	109905	0.3163411	0.3163411	0.004600635	68.76032	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905273_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	220199	116830	0.3067065	0.3067065	0.004764387	64.37482	
SRR11905268_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	145464	190601	-0.1343103	-0.1343103	0.01161	-11.56851	
SRR11905269_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	158225	159668	-0.004539263	-0.004539263	0.008926177	-0.5085339	
SRR11905270_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	154252	175973	-0.06577636	-0.06577636	0.01181883	-5.565386	
SRR11905271_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	154461	165517	-0.03455238	-0.03455238	0.00988892	-3.49405	
SRR11905272_LamaGuanicoeCacsilensis	SRR11905273_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	213033	117816	0.2877959	0.2877959	0.005137523	56.01843	
SRR11097120_LamaGlama	SRR15966550_LamaGlama	SRR11905246_LamaGlama	166614	164264	0.007102316	0.007102316	0.009862434	0.7201382	
