H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
SRR11097120_LamaGlama	SRR11905250_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	128467	238661	-0.3001514	-0.3001514	0.008314305	-36.1006	
SRR11905246_LamaGlama	SRR11905250_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	131562	247915	-0.3066141	-0.3066141	0.008920372	-34.37234	
SRR11905248_LamaGlama	SRR11905250_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	130772	265481	-0.339957	-0.339957	0.01041891	-32.62884	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905250_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	121940	122651	-0.002906894	-0.002906894	0.004757116	-0.6110622	
SRR11097120_LamaGlama	SRR11905251_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	127713	238422	-0.3023721	-0.3023721	0.008213685	-36.81321	
SRR11905246_LamaGlama	SRR11905251_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	130823	247671	-0.3087182	-0.3087182	0.008937837	-34.5406	
SRR11905248_LamaGlama	SRR11905251_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	130085	265367	-0.3420946	-0.3420946	0.01033125	-33.11261	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905251_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	129979	131039	-0.004061023	-0.004061023	0.004567456	-0.8891214	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905251_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	130574	131041	-0.001785066	-0.001785066	0.003946889	-0.4522716	
SRR11097120_LamaGlama	SRR11905252_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	122855	222788	-0.289122	-0.289122	0.008373606	-34.52778	
SRR11905246_LamaGlama	SRR11905252_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	124401	230218	-0.2983963	-0.2983963	0.008966604	-33.27863	
SRR11905248_LamaGlama	SRR11905252_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	123802	247478	-0.3331071	-0.3331071	0.01019115	-32.6859	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905252_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	130834	128568	0.008735476	0.008735476	0.004756951	1.83636	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905252_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	131189	128449	0.01055315	0.01055315	0.00415587	2.539337	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905252_LamaGuanicoeGuanicoe	SRR11905247_LamaGlama	130656	127424	0.01252325	0.01252325	0.003886056	3.222612	
SRR11097120_LamaGlama	SRR11905261_LamaGuanicoeCacsilensis	SRR11905247_LamaGlama	130899	233144	-0.2808597	-0.2808597	0.008166507	-34.39165	
SRR11905246_LamaGlama	SRR11905261_LamaGuanicoeCacsilensis	SRR11905247_LamaGlama	132500	241127	-0.2907365	-0.2907365	0.008949418	-32.48664	
SRR11905248_LamaGlama	SRR11905261_LamaGuanicoeCacsilensis	SRR11905247_LamaGlama	131901	258853	-0.3248898	-0.3248898	0.0105	-30.94189	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905261_LamaGuanicoeCacsilensis	SRR11905247_LamaGlama	141511	134378	0.0258546	0.0258546	0.004917892	5.257252	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905261_LamaGuanicoeCacsilensis	SRR11905247_LamaGlama	141357	133479	0.02866437	0.02866437	0.004328814	6.621761	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905261_LamaGuanicoeCacsilensis	SRR11905247_LamaGlama	140376	132033	0.03062674	0.03062674	0.004320152	7.089274	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905261_LamaGuanicoeCacsilensis	SRR11905247_LamaGlama	129263	124785	0.01762659	0.01762659	0.004315206	4.084762	
SRR11097120_LamaGlama	SRR11905268_LamaGlama	SRR11905247_LamaGlama	170812	165038	0.0171922	0.0171922	0.011468	1.499145	
SRR11905246_LamaGlama	SRR11905268_LamaGlama	SRR11905247_LamaGlama	151538	152130	-0.001949497	-0.001949497	0.01071195	-0.1819928	
SRR11905248_LamaGlama	SRR11905268_LamaGlama	SRR11905247_LamaGlama	165245	184153	-0.05411594	-0.05411594	0.01343212	-4.028846	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905268_LamaGlama	SRR11905247_LamaGlama	247640	132386	0.3032792	0.3032792	0.009535599	31.80495	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905268_LamaGlama	SRR11905247_LamaGlama	248303	132549	0.3039343	0.3039343	0.009372581	32.42803	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905268_LamaGlama	SRR11905247_LamaGlama	248068	131792	0.3061022	0.3061022	0.009478586	32.29408	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905268_LamaGlama	SRR11905247_LamaGlama	230697	125950	0.2936994	0.2936994	0.009402134	31.23752	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905268_LamaGlama	SRR11905247_LamaGlama	241390	133393	0.2881587	0.2881587	0.009389166	30.69056	
SRR11097120_LamaGlama	SRR11905269_LamaGlama	SRR11905247_LamaGlama	167332	164285	0.009188311	0.009188311	0.01074201	0.8553627	
SRR11905246_LamaGlama	SRR11905269_LamaGlama	SRR11905247_LamaGlama	163495	166762	-0.009892296	-0.009892296	0.01067348	-0.926811	
