H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
SRR11905262_VicugnaVicugnaVicugna	SRR13340602_VicugnaPacos	SRR11905253_VicugnaPacos	342089	173355	0.3273566	0.3273566	0.01052347	31.10729	
SRR11905263_VicugnaVicugnaVicugna	SRR13340602_VicugnaPacos	SRR11905253_VicugnaPacos	314064	188919	0.2488056	0.2488056	0.01144886	21.7319	
SRR11905264_VicugnaVicugnaVicugna	SRR13340602_VicugnaPacos	SRR11905253_VicugnaPacos	329384	182130	0.2878787	0.2878787	0.01103472	26.08844	
SRR11905265_VicugnaVicugnaMensalis	SRR13340602_VicugnaPacos	SRR11905253_VicugnaPacos	264498	222001	0.0873527	0.0873527	0.01258421	6.941453	
SRR11905266_VicugnaVicugnaMensalis	SRR13340602_VicugnaPacos	SRR11905253_VicugnaPacos	259553	226343	0.06834796	0.06834796	0.01278408	5.346334	
SRR11905267_VicugnaVicugnaMensalis	SRR13340602_VicugnaPacos	SRR11905253_VicugnaPacos	253824	229764	0.0497531	0.0497531	0.0129431	3.843985	
SRR13340600_VicugnaPacos	SRR13340602_VicugnaPacos	SRR11905253_VicugnaPacos	240219	243870	-0.007542002	-0.007542002	0.011132	-0.6775063	
SRR13340601_VicugnaPacos	SRR13340602_VicugnaPacos	SRR11905253_VicugnaPacos	241967	242922	-0.001969523	-0.001969523	0.01207403	-0.1631206	
SRR11905254_VicugnaPacos	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	239115	247862	-0.01796183	-0.01796183	0.01042108	-1.723606	
SRR11905255_VicugnaPacos	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	241044	245218	-0.00858385	-0.00858385	0.0110099	-0.7796483	
SRR11905256_VicugnaPacos	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	239076	245368	-0.01298809	-0.01298809	0.01027574	-1.263956	
SRR11905257_VicugnaPacos	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	242529	240671	0.003845199	0.003845199	0.01113002	0.34548	
SRR11905258_VicugnaPacos	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	247808	244998	0.005702041	0.005702041	0.01181198	0.4827338	
SRR11905259_VicugnaPacos	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	239599	239578	4.382514e-05	4.382514e-05	0.01096725	0.003995999	
SRR11905260_VicugnaVicugnaVicugna	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	348414	170724	0.3422789	0.3422789	0.01074054	31.86796	
SRR11905262_VicugnaVicugnaVicugna	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	343607	173626	0.3286353	0.3286353	0.01083866	30.32066	
SRR11905263_VicugnaVicugnaVicugna	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	313712	187367	0.2521459	0.2521459	0.01162956	21.68147	
SRR11905264_VicugnaVicugnaVicugna	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	330797	182334	0.2893277	0.2893277	0.01156741	25.01232	
SRR11905265_VicugnaVicugnaMensalis	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	266014	222153	0.08984835	0.08984835	0.01320896	6.802074	
SRR11905266_VicugnaVicugnaMensalis	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	261251	226606	0.07101466	0.07101466	0.01341338	5.294315	
SRR11905267_VicugnaVicugnaMensalis	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	255425	229972	0.05243749	0.05243749	0.01368067	3.832962	
SRR13340600_VicugnaPacos	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	237421	239584	-0.004534544	-0.004534544	0.01095144	-0.4140592	
SRR13340601_VicugnaPacos	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	244864	244275	0.001204157	0.001204157	0.01175903	0.1024027	
SRR13340602_VicugnaPacos	SRR13340603_VicugnaPacos	SRR11905253_VicugnaPacos	243842	242353	0.003062557	0.003062557	0.01134692	0.269902	
SRR11905254_VicugnaPacos	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	233208	250412	-0.03557338	-0.03557338	0.01113922	-3.193527	
SRR11905255_VicugnaPacos	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	234298	246889	-0.02616654	-0.02616654	0.0107661	-2.430458	
SRR11905256_VicugnaPacos	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	231965	246723	-0.0308301	-0.0308301	0.01091924	-2.823465	
SRR11905257_VicugnaPacos	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	239008	245737	-0.01388153	-0.01388153	0.01112381	-1.247911	
SRR11905258_VicugnaPacos	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	242589	248053	-0.01113643	-0.01113643	0.01208294	-0.9216654	
SRR11905259_VicugnaPacos	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	236945	245580	-0.01789545	-0.01789545	0.01168347	-1.53169	
SRR11905260_VicugnaVicugnaVicugna	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	342703	173405	0.3280282	0.3280282	0.01106833	29.63666	
SRR11905262_VicugnaVicugnaVicugna	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	338374	176818	0.3135841	0.3135841	0.01133507	27.66495	
SRR11905263_VicugnaVicugnaVicugna	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	309949	192064	0.2348246	0.2348246	0.01195487	19.64259	
SRR11905264_VicugnaVicugnaVicugna	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	325790	185848	0.2735176	0.2735176	0.01188282	23.01791	
SRR11905265_VicugnaVicugnaMensalis	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	261447	225962	0.07280333	0.07280333	0.01329516	5.475929	
SRR11905266_VicugnaVicugnaMensalis	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	257578	231376	0.05358786	0.05358786	0.01343899	3.987491	
SRR11905267_VicugnaVicugnaMensalis	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	251619	234689	0.03481333	0.03481333	0.01351977	2.574995	
SRR13340600_VicugnaPacos	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	237570	248292	-0.02206799	-0.02206799	0.01163853	-1.896115	
SRR13340601_VicugnaPacos	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	239732	247615	-0.01617533	-0.01617533	0.01270422	-1.273225	
SRR13340602_VicugnaPacos	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	238004	245085	-0.01465775	-0.01465775	0.01137836	-1.288213	
SRR13340603_VicugnaPacos	SRR13340604_VicugnaPacos	SRR11905253_VicugnaPacos	235448	243940	-0.01771425	-0.01771425	0.01109483	-1.596622	
SRR11905254_VicugnaPacos	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	237383	258974	-0.04349893	-0.04349893	0.01093831	-3.97675	
SRR11905255_VicugnaPacos	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	235143	252147	-0.03489503	-0.03489503	0.01040018	-3.355232	
SRR11905256_VicugnaPacos	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	233836	252912	-0.03919071	-0.03919071	0.0103748	-3.777491	
SRR11905257_VicugnaPacos	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	237345	248251	-0.022459	-0.022459	0.009985995	-2.24905	
SRR11905258_VicugnaPacos	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	242195	252123	-0.02008424	-0.02008424	0.01177417	-1.705787	
SRR11905259_VicugnaPacos	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	239582	252448	-0.02614881	-0.02614881	0.01176956	-2.221732	
SRR11905260_VicugnaVicugnaVicugna	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	343096	178063	0.3166654	0.3166654	0.01069371	29.61229	
SRR11905262_VicugnaVicugnaVicugna	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	338304	181039	0.3028153	0.3028153	0.01090714	27.76304	
SRR11905263_VicugnaVicugnaVicugna	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	310411	196653	0.2243464	0.2243464	0.01186843	18.90278	
SRR11905264_VicugnaVicugnaVicugna	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	326345	190592	0.2626103	0.2626103	0.01142125	22.99313	
SRR11905265_VicugnaVicugnaMensalis	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	264185	233055	0.06260558	0.06260558	0.01324206	4.727784	
SRR11905266_VicugnaVicugnaMensalis	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	259861	238015	0.0438784	0.0438784	0.01343898	3.265009	
SRR11905267_VicugnaVicugnaMensalis	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	254535	241978	0.02529038	0.02529038	0.0135698	1.863725	
SRR13340600_VicugnaPacos	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	239762	254832	-0.03046944	-0.03046944	0.01105107	-2.757149	
SRR13340601_VicugnaPacos	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	240937	253211	-0.02483871	-0.02483871	0.01153108	-2.154066	
SRR13340602_VicugnaPacos	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	237227	248692	-0.02359447	-0.02359447	0.01094955	-2.154835	
SRR13340603_VicugnaPacos	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	237240	250081	-0.02635019	-0.02635019	0.01035016	-2.545872	
SRR13340604_VicugnaPacos	SRR13340605_VicugnaPacos	SRR11905253_VicugnaPacos	240947	245240	-0.008829936	-0.008829936	0.01123127	-0.7861922	
SRR11905254_VicugnaPacos	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	239222	254930	-0.03178779	-0.03178779	0.01080336	-2.942398	
SRR11905255_VicugnaPacos	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	237268	248396	-0.02291296	-0.02291296	0.01111033	-2.062311	
SRR11905256_VicugnaPacos	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	236755	250033	-0.02727676	-0.02727676	0.01005357	-2.713141	
SRR11905257_VicugnaPacos	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	239996	245320	-0.01097017	-0.01097017	0.01048139	-1.046634	
SRR11905258_VicugnaPacos	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	244226	248336	-0.008344127	-0.008344127	0.01149827	-0.7256854	
SRR11905259_VicugnaPacos	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	241817	249059	-0.01475322	-0.01475322	0.01169402	-1.261603	
SRR11905260_VicugnaVicugnaVicugna	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	345373	175296	0.3266509	0.3266509	0.01061418	30.77497	
SRR11905262_VicugnaVicugnaVicugna	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	340688	178256	0.3130049	0.3130049	0.01064475	29.40462	
SRR11905263_VicugnaVicugnaVicugna	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	313875	194560	0.2346711	0.2346711	0.01165082	20.14202	
SRR11905264_VicugnaVicugnaVicugna	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	328653	187657	0.273084	0.273084	0.01141582	23.92154	
SRR11905265_VicugnaVicugnaMensalis	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	266653	229928	0.07395571	0.07395571	0.01314925	5.624328	
SRR11905266_VicugnaVicugnaMensalis	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	262034	234625	0.05518676	0.05518676	0.01330649	4.147357	
